nom_sg,gen_sg,dat_sg,acc_sg,abl_sg,voc_sg,special_suffix1,special_suffix2,special_suffix3
Asclepius,Asclepii,Asclepio,Asclepium,Asclepio,Asclepie,,,,
Aesculapius,Aesculapii,Aesculapio,Aesculapium,Aesculapio,Aesculapie,Aesculapi,Aesculapem,Aesculapeo,
Esculapius,Esculapii,Esculapio,Esculapium,Esculapio,Esculapie,,,,
Asclepios,Asclepii,Asclepio,Asclepium,Asclepio,Asclepie,,,,
Apollo,Apollonis,Apolloni,Apollonem,Apollone,Apollo,,,,
Apollon,Apollonis,Apolloni,Apollonem,Apollone,Apollon,,,,
Apolon,Apolonis,Apoloni,Apolonem,Apolone,Apolon,,,,
Apolin,Apolinis,Apolini,Apolinem,Apoline,Apolin,,,,
Apollin,Apollinis,Apollini,Apollinem,Apolline,Apollin,,,,
Iupiter Optimus Maximus,Iovis Optimi Maximi,Iovi Optimo Maximo,Iovem Optimum Maximum,Iove Optimo Maximo,Iupiter Optimus Maximus,,,,
Iuppiter Optimus Maximus,Iovis Optimi Maximi,Iovi Optimo Maximo,Iovem Optimum Maximum,Iove Optimo Maximo,Iuppiter Optimus Maximus,,,,
Jupiter Optimus Maximus,Iovis Optimi Maximi,Iovi Optimo Maximo,Iovem Optimum Maximum,Iove Optimo Maximo,Jupiter Optimus Maximus,,,,
Iovus Optimus Maximus,Iovis Optimi Maximi,Iovi Optimo Maximo,Iovem Optimum Maximum,Iove Optimo Maximo,Iovus Optimus Maximus,,,,